Date,Open,High,Low,Close,Volume,Currency
2019-12-24,126.05,130.65,125.35,129.4,15731,USD
2019-12-26,129.4,129.85,126.65,127.3,8886,USD
2019-12-27,127.85,132.8,127.65,132.5,23561,USD
2019-12-30,132.5,132.75,129.8,132.15,15437,USD
2019-12-31,131.5,134.65,128.55,129.7,17376,USD
2020-01-02,129.55,130.95,126.5,127.1,21506,USD
2020-01-03,127.2,128.45,125.45,126.35,16566,USD
2020-01-06,126.25,126.55,121.55,122.15,24428,USD
2020-01-07,122.6,123.4,119.85,122.4,21308,USD
2020-01-08,122.5,123.05,118.25,119.15,23061,USD
2020-01-09,118.7,120.35,117.0,117.35,24637,USD
2020-01-10,117.75,119.15,116.5,118.95,21165,USD
2020-01-13,118.55,118.55,114.15,114.55,22280,USD
2020-01-14,115.0,115.55,113.7,114.9,18618,USD
2020-01-15,115.3,116.35,114.05,114.3,24677,USD
2020-01-16,114.3,115.1,112.35,112.95,16708,USD
2020-01-17,113.05,113.4,111.35,112.15,17839,USD
2020-01-21,111.5,113.25,109.75,111.05,32011,USD
2020-01-22,111.5,112.2,110.1,111.0,18581,USD
2020-01-23,111.15,113.7,110.65,112.6,22898,USD
2020-01-24,112.6,112.65,109.85,110.15,23990,USD
2020-01-27,110.0,110.0,106.15,106.6,25500,USD
2020-01-28,106.4,106.8,104.9,105.05,23885,USD
2020-01-29,106.0,106.2,101.9,102.05,32681,USD
2020-01-30,102.0,103.5,100.9,101.5,24626,USD
2020-01-31,101.45,103.25,100.15,102.65,23166,USD
2020-02-03,102.0,102.3,97.8,97.9,31237,USD
2020-02-04,98.95,101.75,97.6,98.15,29518,USD
2020-02-05,98.5,99.25,97.55,97.75,29230,USD
2020-02-06,98.45,99.35,97.4,98.15,34189,USD
2020-02-07,98.35,99.9,97.7,98.35,23661,USD
2020-02-10,98.55,100.7,98.05,100.3,45770,USD
2020-02-11,100.65,101.2,99.5,100.5,36364,USD
2020-02-12,101.0,102.3,100.0,100.65,36213,USD
2020-02-13,100.5,104.65,99.95,104.45,28558,USD
2020-02-14,104.15,109.4,103.65,109.1,9664,USD
2020-02-18,109.7,111.5,104.4,106.55,14616,USD
2020-02-19,106.3,107.75,105.5,106.8,17063,USD
2020-02-20,107.05,107.05,104.0,103.6,721,USD
2020-02-21,104.6,109.7,104.6,108.85,26,USD
2020-02-24,105.45,107.05,102.9,105.9,878,USD
2020-02-25,106.45,107.7,103.9,107.1,104,USD
2020-02-26,105.35,109.35,105.35,109.1,17,USD
2020-02-27,109.9,110.8,107.8,108.2,412,USD
2020-02-28,107.75,109.95,107.75,110.1,110,USD
2020-03-02,112.75,113.7,112.75,114.65,17,USD
2020-03-03,118.7,120.75,118.3,121.05,119,USD
2020-03-04,118.85,118.85,118.85,117.15,62,USD
2020-03-05,115.0,115.45,115.0,109.85,82,USD
2020-03-06,105.6,106.2,105.6,105.6,42,USD
2020-03-09,103.7,109.65,103.7,108.95,36,USD
2020-03-10,111.3,114.45,111.3,114.25,92,USD
2020-03-11,114.3,116.08,111.53,111.55,0,USD
2020-03-12,109.23,110.5,107.43,109.15,0,USD
2020-03-13,111.15,111.35,107.5,107.05,62,USD
2020-03-16,107.05,107.05,104.85,103.9,4,USD
2020-03-17,104.4,104.4,102.8,102.9,13,USD
2020-03-18,108.2,108.2,108.2,108.05,18,USD
2020-03-19,114.15,114.15,111.5,116.65,37,USD
2020-03-20,114.0,120.05,114.0,119.7,24832,USD
2020-03-23,120.65,124.9,116.6,121.25,26987,USD
2020-03-24,121.45,126.05,120.8,125.6,21152,USD
2020-03-25,126.2,130.4,122.35,129.95,25571,USD
2020-03-26,128.4,130.65,124.05,124.65,17978,USD
2020-03-27,123.35,123.35,115.65,115.85,19516,USD
2020-03-30,116.2,120.85,116.2,119.3,14430,USD
2020-03-31,118.65,120.4,116.4,119.55,14185,USD
2020-04-01,117.75,119.0,114.1,116.0,17245,USD
2020-04-02,116.85,120.1,116.6,119.35,17216,USD
2020-04-03,118.55,119.2,114.3,114.9,15077,USD
2020-04-06,114.85,117.8,112.4,116.65,18789,USD
2020-04-07,117.05,120.9,117.0,119.9,22940,USD
2020-04-08,120.0,120.75,118.05,119.8,20568,USD
2020-04-09,120.0,122.0,116.9,118.6,21970,USD
2020-04-13,118.95,120.6,116.6,119.75,14231,USD
2020-04-14,119.9,120.35,115.75,117.2,14615,USD
2020-04-15,117.0,121.2,114.6,120.2,9063,USD
2020-04-16,119.85,120.85,117.9,118.6,7041,USD
2020-04-17,118.3,119.6,115.7,116.05,10691,USD
2020-04-20,116.3,116.75,113.05,113.65,5968,USD
2020-04-21,113.0,113.55,109.35,109.65,8794,USD
2020-04-22,109.65,112.1,109.65,110.6,124,USD
2020-04-23,112.0,113.6,110.65,111.05,39,USD
2020-04-24,109.45,109.45,105.0,105.2,35,USD
2020-04-27,107.0,107.0,104.3,104.6,32,USD
2020-04-28,106.65,108.95,105.95,105.7,0,USD
2020-04-29,104.05,104.1,103.5,103.65,16,USD
2020-04-30,103.75,104.1,102.65,104.65,14,USD
2020-05-01,104.25,104.25,103.7,104.45,2,USD
2020-05-04,103.9,103.9,103.4,105.55,2,USD
2020-05-05,108.3,108.3,108.3,108.85,49,USD
2020-05-06,107.8,109.15,107.75,109.35,6,USD
2020-05-07,107.0,107.0,104.6,107.45,4,USD
2020-05-08,108.25,109.4,108.25,110.1,2,USD
2020-05-11,108.2,108.2,108.2,108.95,10,USD
2020-05-12,107.75,107.75,107.75,105.6,1,USD
2020-05-13,104.5,104.5,103.65,103.55,57,USD
2020-05-14,105.35,105.35,105.35,104.9,4,USD
2020-05-15,105.0,105.0,105.0,104.8,1,USD
2020-05-18,106.65,108.08,105.03,105.7,0,USD
2020-05-19,107.5,108.7,106.3,107.05,11518,USD
2020-05-20,106.75,107.65,105.3,105.65,12399,USD
2020-05-21,105.75,106.75,104.2,104.75,19211,USD
2020-05-22,104.75,105.15,102.35,103.6,18541,USD
2020-05-26,104.65,107.1,104.2,105.1,18345,USD
2020-05-27,105.15,106.0,101.45,102.5,20950,USD
2020-05-28,102.3,102.55,98.55,99.1,21073,USD
2020-05-29,99.2,100.05,95.85,96.3,23795,USD
2020-06-01,95.85,99.0,94.8,98.3,26971,USD
2020-06-02,98.45,99.7,97.35,98.2,17761,USD
2020-06-03,98.5,100.75,97.9,99.1,16879,USD
2020-06-04,98.9,98.95,96.25,98.15,13953,USD
2020-06-05,98.55,99.75,97.05,98.9,16818,USD
2020-06-08,99.25,99.65,97.55,98.9,26561,USD
2020-06-09,99.2,99.45,97.25,97.8,22764,USD
2020-06-10,97.9,98.65,96.4,96.75,24680,USD
2020-06-11,96.2,97.65,94.6,96.0,27278,USD
2020-06-12,96.35,97.8,94.9,95.2,18281,USD
2020-06-15,94.2,95.25,92.7,94.0,22016,USD
2020-06-16,94.65,95.45,92.75,93.65,11584,USD
2020-06-17,93.25,96.8,93.15,96.25,12234,USD
2020-06-18,97.0,97.05,94.4,94.6,16437,USD
2020-06-19,94.3,95.3,93.45,93.75,15815,USD
2020-06-22,94.05,96.1,94.0,95.95,266,USD
2020-06-23,96.25,97.55,95.75,96.25,30,USD
2020-06-24,96.25,97.1,96.25,96.65,34,USD
2020-06-25,96.65,97.1,94.55,94.85,45,USD
2020-06-26,95.6,95.6,93.45,95.65,19,USD
2020-06-29,100.45,101.45,98.45,98.65,16,USD
2020-06-30,100.35,100.35,99.5,100.05,7,USD
2020-07-01,102.8,102.8,102.05,103.05,4,USD
2020-07-02,104.38,104.6,102.53,102.25,0,USD
2020-07-06,97.35,97.35,97.35,97.2,47,USD
2020-07-07,97.88,100.7,97.35,99.25,0,USD
2020-07-08,100.48,102.23,99.63,98.95,0,USD
2020-07-09,100.03,100.8,98.33,97.7,0,USD
2020-07-10,96.8,96.95,95.45,96.15,4,USD
2020-07-13,97.03,98.88,96.58,97.4,0,USD
2020-07-14,98.65,98.7,96.83,96.7,0,USD
2020-07-15,98.03,98.2,96.33,95.95,0,USD
2020-07-16,96.9,98.8,96.78,97.1,0,USD
2020-07-17,98.45,102.5,98.45,101.05,0,USD
2020-07-20,101.58,102.85,99.08,98.5,0,USD
2020-07-21,99.53,101.9,99.53,100.5,0,USD
2020-07-22,101.75,108.75,101.25,108.35,32829,USD
2020-07-23,108.1,109.3,106.15,107.5,24990,USD
2020-07-24,106.95,109.1,106.35,108.4,22539,USD
2020-07-27,107.9,110.75,107.4,110.4,25735,USD
2020-07-28,110.35,111.35,108.35,109.65,18617,USD
2020-07-29,109.4,112.6,109.3,111.6,24211,USD
2020-07-30,112.45,117.4,112.2,115.35,34126,USD
2020-07-31,116.4,119.4,115.2,118.95,34771,USD
2020-08-03,118.2,119.7,115.65,117.9,28190,USD
2020-08-04,116.9,121.25,116.65,121.05,29406,USD
2020-08-05,120.75,127.25,120.45,121.55,36843,USD
2020-08-06,122.0,124.2,116.45,117.0,28501,USD
2020-08-07,117.3,118.8,113.6,115.45,29392,USD
2020-08-10,115.05,117.15,111.6,112.6,22719,USD
2020-08-11,112.0,112.55,109.7,111.35,28553,USD
2020-08-12,111.35,113.8,110.35,112.05,22667,USD
2020-08-13,112.4,117.15,111.15,116.2,20874,USD
2020-08-14,116.65,119.2,114.45,114.7,15520,USD
2020-08-17,114.6,115.65,112.7,115.55,6996,USD
2020-08-18,115.65,119.75,115.65,119.3,7201,USD
2020-08-19,119.5,122.2,116.75,118.45,9248,USD
2020-08-20,118.0,119.95,117.0,118.55,7088,USD
2020-08-21,119.65,120.4,116.5,120.1,245,USD
2020-08-24,120.4,122.6,119.45,120.25,119,USD
2020-08-25,120.5,123.8,120.0,123.2,55,USD
2020-08-26,125.5,127.6,122.0,122.8,72,USD
2020-08-27,121.35,123.25,121.0,122.95,13,USD
2020-08-28,123.6,127.1,123.6,127.1,54,USD
2020-08-31,129.05,130.8,127.15,129.8,56,USD
2020-09-01,132.25,132.3,130.8,131.9,22,USD
2020-09-02,130.95,131.05,130.0,131.5,41,USD
2020-09-03,131.3,131.3,131.0,131.6,11,USD
2020-09-04,131.2,134.5,131.2,134.8,45,USD
2020-09-08,129.0,129.55,128.25,132.8,17,USD
2020-09-09,131.15,131.4,130.4,129.65,15,USD
2020-09-10,127.73,133.45,127.7,132.5,0,USD
2020-09-11,130.65,132.55,129.38,133.35,0,USD
2020-09-14,128.15,128.65,124.15,123.55,118,USD
2020-09-15,122.38,122.97,115.85,122.2,0,USD
2020-09-16,123.85,123.85,120.7,120.55,8,USD
2020-09-17,119.9,119.9,118.7,118.1,24,USD
2020-09-18,118.35,118.35,115.75,113.6,3,USD
2020-09-21,113.0,113.45,110.8,112.0,32467,USD
2020-09-22,112.55,114.8,110.35,110.65,22525,USD
2020-09-23,110.8,112.6,109.05,110.5,24425,USD
2020-09-24,110.75,112.1,110.25,111.15,17432,USD
2020-09-25,111.75,114.3,110.85,113.65,18236,USD
2020-09-28,113.8,114.75,108.7,109.55,21447,USD
2020-09-29,109.1,110.4,108.3,109.55,21158,USD
2020-09-30,110.25,112.75,109.4,110.95,21064,USD
2020-10-01,110.95,111.6,106.4,107.05,27641,USD
2020-10-02,106.5,110.0,104.9,108.95,23163,USD
2020-10-05,108.65,109.7,106.6,107.2,19938,USD
2020-10-06,107.5,109.4,107.1,107.65,15255,USD
2020-10-07,107.7,111.0,106.2,109.6,20419,USD
2020-10-08,110.15,112.15,107.9,110.25,18260,USD
2020-10-09,110.25,112.45,110.25,111.55,15764,USD
2020-10-12,111.0,113.35,108.55,109.15,15910,USD
2020-10-13,109.3,111.15,108.7,110.1,14789,USD
2020-10-14,110.05,111.7,109.2,109.6,14046,USD
2020-10-15,109.55,111.35,106.5,109.5,22363,USD
2020-10-16,109.65,111.1,106.85,107.25,14716,USD
2020-10-19,106.55,108.65,105.6,106.05,16873,USD
2020-10-20,107.05,107.25,104.0,104.9,17967,USD
2020-10-21,104.8,106.85,103.35,104.15,15757,USD
2020-10-22,103.7,107.45,103.2,106.7,22411,USD
2020-10-23,106.4,107.0,104.75,105.6,11995,USD
2020-10-26,104.8,107.15,104.3,106.65,14411,USD
2020-10-27,106.75,108.2,106.15,106.95,16380,USD
2020-10-28,106.45,106.65,104.65,105.0,15333,USD
2020-10-29,105.0,105.2,102.95,104.6,16287,USD
2020-10-30,104.55,105.8,103.7,104.4,18949,USD
2020-11-02,103.9,104.9,102.35,102.8,18605,USD
2020-11-03,102.8,106.25,102.75,103.45,24079,USD
2020-11-04,103.65,103.95,102.15,103.0,18073,USD
2020-11-05,103.9,106.8,103.55,105.95,29467,USD
2020-11-06,106.55,108.0,105.95,106.95,18754,USD
2020-11-09,107.35,109.35,106.35,106.85,26289,USD
2020-11-10,106.75,107.65,105.35,107.3,28673,USD
2020-11-11,108.0,110.55,107.8,109.1,25497,USD
2020-11-12,109.35,110.7,108.75,110.1,27567,USD
2020-11-13,110.15,110.55,108.65,109.25,11221,USD
2020-11-16,109.95,116.2,109.8,115.65,12893,USD
2020-11-17,115.95,116.65,114.2,116.2,15948,USD
2020-11-18,116.5,121.1,116.35,119.75,11870,USD
2020-11-19,119.8,121.0,118.65,120.65,203,USD
2020-11-20,120.55,121.2,114.5,115.5,114,USD
2020-11-23,116.65,116.65,114.35,114.45,39,USD
2020-11-24,114.5,114.65,113.05,113.15,19,USD
2020-11-25,114.35,115.15,114.05,114.5,38,USD
2020-11-27,119.0,119.7,118.65,121.7,167,USD
2020-11-30,121.35,121.4,118.9,120.7,51,USD
2020-12-01,120.2,120.2,116.1,115.65,121,USD
2020-12-02,116.0,116.0,116.0,116.85,36,USD
2020-12-03,120.0,121.0,118.68,117.65,0,USD
2020-12-04,116.8,116.8,115.4,115.35,7,USD
