,segment,type,sub_type,navegg_id,dv360_id,verizon_id,mediamath_id
88,technology,Conexão,COTELCAM,1605,472083064,1605,1605
89,technology,Conexão,TelecentroS.A.,1606,472083067,1606,1606
90,technology,Conexão,TeleSP,1607,472083070,1607,1607
91,technology,Conexão,TeleSC,1608,472083073,1608,1608
92,technology,Conexão,ETB,1609,472083076,1609,1609
93,technology,Conexão,Cablevision,1610,472083079,1610,1610
94,technology,Conexão,TelecomArgentina,1611,472083082,1611,1611
95,technology,Conexão,ColombiaTelecomunicaciones,1612,472083085,1612,1612
96,technology,Conexão,MegaCable,1613,472083088,1613,1613
97,technology,Conexão,CablemasTelecomunicaciones,1614,472083091,1614,1614
